Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RTTA.SF1RBCA,2018.03,26151.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2019.03,27323.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2020.03,28924.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2021.03,29460,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2022.03,32633.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2023.03,35653.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2024.03,36580,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RCCA,2012.03,4477.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2013.03,4595.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2014.03,4729.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2015.03,4945.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2016.03,5240.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2017.03,5669.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2018.03,5924.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2019.03,6134.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2020.03,6440.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2021.03,6795.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2022.03,7415.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2023.03,7866.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RCCA,2024.03,7870,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Waikato,Current,Actual,
RTTA.SF1RDCA,2012.03,3269.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2013.03,3359.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2014.03,3414,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2015.03,3633.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2016.03,3894.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2017.03,4221.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2018.03,4388.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2019.03,4587.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2020.03,4787.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2021.03,5004.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2022.03,5440.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2023.03,5611,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RDCA,2024.03,5693.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Bay of Plenty,Current,Actual,
RTTA.SF1RECA,2012.03,454.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2013.03,449.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2014.03,462.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2015.03,453.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
RTTA.SF1RECA,2016.03,467.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Gisborne,Current,Actual,
